,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
3643,17.0,37.8174972534,-23.3472309113,26.3249092102,-35.9816818237,15.7663547876,15.4411201477,76.6249237061,1.03740179539,5861.37988281,11.3759965897,10.7017593384,10.7550001144,10.218000412,9.875,2.0,186.787322998,6.65000009537,1.0,537.0,3.0
3644,17.0,40.3144187927,-22.2895202637,29.4506759644,-35.8817062378,2.43383858885,3.63277864456,14.7801218033,0.351350098848,3470.98291016,15.1356945038,12.9279136658,12.8324613571,11.6821489334,10.9031152725,2.0,12.02891922,4.25,3.0,727.0,2.0
3645,17.0,37.1425056458,-22.6656570435,25.9461021423,-35.112449646,3.05225851264,9.34234428406,9.11005115509,0.485868424177,3779.55004883,11.3455152512,9.49210071564,9.40860748291,8.41620731354,7.61152076721,2.0,21.1720581055,1.95000004768,2.0,623.0,2.0
3646,17.0,37.1425056458,-22.6656570435,25.9461021423,-35.112449646,2.51103741002,20.59806633,3.17463207245,0.485868424177,3779.55004883,11.3455152512,9.49210071564,9.40860748291,8.41620731354,7.61152076721,2.0,10.1722459793,1.95000004768,2.0,623.0,2.0
3677,17.0,39.8248138428,-27.9383468628,26.1239929199,-40.9137496948,16.8444221126,9.84788131714,65.0630111694,0.763343334198,5482.77050781,12.704709053,11.9255199432,11.986000061,11.3579998016,10.9300003052,2.0,84.145149231,6.94999980927,1.0,36.0,3.0
3787,17.0,38.3966178894,-34.9404296875,20.4303226471,-46.7182617188,5.62760349253,6.40150308609,486.598876953,1.32847809792,6266.13769531,10.1049489975,9.53991985321,9.58500003815,9.13199996948,8.85999965668,2.0,11.9648504257,6.25,0.0,340.0,3.0
3788,17.0,40.3472366333,-35.133102417,22.3973960876,-47.6124343872,9.29428160906,18.0713233948,136.74369812,1.42191505432,6324.12011719,11.7495889664,11.1963195801,11.2399997711,10.8030004501,10.545999527,2.0,21.930606842,8.10000038147,0.0,692.0,3.0
3980,17.0,32.1330451965,-43.8346366882,7.14023542404,-52.0032081604,2.9432500998,7.01659011841,3.27539205551,0.239190548658,3331.29248047,13.7288217545,11.3638677597,11.2631969452,10.0451564789,9.28485107422,2.0,13.8637447357,1.64999997616,2.0,1497.0,2.0
3981,17.0,35.2556877136,-43.0386886597,10.9615345001,-52.5602149963,2.40278807078,16.1991577148,0.778338372707,0.195392459631,3249.73266602,16.4472961426,13.9514780045,13.8578186035,12.5644798279,11.7958621979,4.0,14.9437475204,3.65000009537,1.0,824.0,2.0
4055,17.0,28.3991241455,-46.1091918945,1.48993635178,-52.4061927795,5.32561610478,3.52063512802,873.157409668,1.202029109,6180.16259766,12.5504703522,11.960559845,12.0080003738,11.5340003967,11.2449998856,2.0,12.3314380646,8.39999961853,1.0,257.0,3.0
4056,17.0,29.246673584,-47.3789558411,1.05016362667,-53.7772598267,1.39825785433,1.29515111446,54.5583343506,0.338450133801,3454.81665039,14.9006795883,12.6770439148,12.579076767,11.4236154556,10.6479072571,2.0,7.35803031921,3.90000009537,3.0,729.0,2.0
